This textfile must keep the line/row format.
Although the data in the table can be changed, but
the number of character for each row be the same.

2x16 characters display.
x-below will represent the data from table below.

 P O W E R :   x x x x x x d B m
 x x x x x x W   x x x x x x V

"$" character will be equal to space.
AD  	Sign	PdB	W		V	
3441	+	14,01	25,18	m	1,122	$
3440	+	13,98	25,00	m	1,118	$
3439	+	13,96	24,89	m	1,116	$
3438	+	13,94	24,77	m	1,113	$
3437	+	13,91	24,60	m	1,109	$
3436	+	13,89	24,49	m	1,107	$
3435	+	13,86	24,32	m	1,103	$
3434	+	13,84	24,21	m	1,100	$
3433	+	13,81	24,04	m	1,096	$
3432	+	13,79	23,93	m	1,094	$
3431	+	13,76	23,77	m	1,090	$
3430	+	13,74	23,66	m	1,088	$
3429	+	13,72	23,55	m	1,085	$
3428	+	13,69	23,39	m	1,081	$
3427	+	13,67	23,28	m	1,079	$
3426	+	13,64	23,12	m	1,075	$
3425	+	13,62	23,01	m	1,073	$
3424	+	13,59	22,86	m	1,069	$
3423	+	13,57	22,75	m	1,067	$
3422	+	13,54	22,59	m	1,063	$
3421	+	13,52	22,49	m	1,060	$
3420	+	13,50	22,39	m	1,058	$
3419	+	13,47	22,23	m	1,054	$
3418	+	13,45	22,13	m	1,052	$
3417	+	13,42	21,98	m	1,048	$
3416	+	13,40	21,88	m	1,046	$
3415	+	13,37	21,73	m	1,042	$
3414	+	13,35	21,63	m	1,040	$
3413	+	13,33	21,53	m	1,038	$
3412	+	13,30	21,38	m	1,034	$
3411	+	13,28	21,28	m	1,032	$
3410	+	13,25	21,13	m	1,028	$
3409	+	13,23	21,04	m	1,026	$
3408	+	13,20	20,89	m	1,022	$
3407	+	13,18	20,80	m	1,020	$
3406	+	13,15	20,65	m	1,016	$
3405	+	13,13	20,56	m	1,014	$
3404	+	13,11	20,46	m	1,011	$
3403	+	13,08	20,32	m	1,008	$
3402	+	13,06	20,23	m	1,006	$
3401	+	13,03	20,09	m	1,002	$
3400	+	13,01	20,00	m	1,000	$
3399	+	12,98	19,86	m	996,5	m
3398	+	12,96	19,77	m	994,2	m
3397	+	12,93	19,63	m	990,7	m
3396	+	12,91	19,54	m	988,4	m
3395	+	12,89	19,45	m	986,2	m
3394	+	12,86	19,32	m	982,9	m
3393	+	12,84	19,23	m	980,6	m
3392	+	12,81	19,10	m	977,2	m
3391	+	12,79	19,01	m	974,9	m
3390	+	12,76	18,88	m	971,6	m
3389	+	12,74	18,79	m	969,3	m
3388	+	12,71	18,66	m	965,9	m
3387	+	12,69	18,58	m	963,8	m
3386	+	12,67	18,49	m	961,5	m
3385	+	12,64	18,37	m	958,4	m
3384	+	12,62	18,28	m	956,0	m
3383	+	12,59	18,16	m	952,9	m
3382	+	12,57	18,07	m	950,5	m
3381	+	12,54	17,95	m	947,4	m
3380	+	12,52	17,86	m	945,0	m
3379	+	12,50	17,78	m	942,9	m
3378	+	12,47	17,66	m	939,7	m
3377	+	12,45	17,58	m	937,5	m
3376	+	12,42	17,46	m	934,3	m
3375	+	12,40	17,38	m	932,2	m
3374	+	12,37	17,26	m	929,0	m
3373	+	12,35	17,18	m	926,8	m
3372	+	12,32	17,06	m	923,6	m
3371	+	12,30	16,98	m	921,4	m
3370	+	12,28	16,90	m	919,2	m
3369	+	12,25	16,79	m	916,2	m
3368	+	12,23	16,71	m	914,1	m
3367	+	12,20	16,60	m	911,0	m
3366	+	12,18	16,52	m	908,8	m
3365	+	12,15	16,41	m	905,8	m
3364	+	12,13	16,33	m	903,6	m
3363	+	12,10	16,22	m	900,6	m
3362	+	12,08	16,14	m	898,3	m
3361	+	12,06	16,07	m	896,4	m
3360	+	12,03	15,96	m	893,3	m
3359	+	12,01	15,89	m	891,3	m
3358	+	11,98	15,78	m	888,3	m
3357	+	11,96	15,70	m	886,0	m
3356	+	11,93	15,60	m	883,2	m
3355	+	11,91	15,52	m	880,9	m
3354	+	11,88	15,42	m	878,1	m
3353	+	11,86	15,35	m	876,1	m
3352	+	11,84	15,28	m	874,1	m
3351	+	11,81	15,17	m	870,9	m
3350	+	11,79	15,10	m	868,9	m
3349	+	11,76	15,00	m	866,0	m
3348	+	11,74	14,93	m	864,0	m
3347	+	11,71	14,83	m	861,1	m
3346	+	11,69	14,76	m	859,1	m
3345	+	11,67	14,69	m	857,0	m
3344	+	11,64	14,59	m	854,1	m
3343	+	11,62	14,52	m	852,1	m
3342	+	11,59	14,42	m	849,1	m
3341	+	11,57	14,35	m	847,1	m
3340	+	11,54	14,26	m	844,4	m
3339	+	11,52	14,19	m	842,3	m
3338	+	11,49	14,09	m	839,3	m
3337	+	11,47	14,03	m	837,6	m
3336	+	11,45	13,96	m	835,5	m
3335	+	11,42	13,87	m	832,8	m
3334	+	11,40	13,80	m	830,7	m
3333	+	11,37	13,71	m	827,9	m
3332	+	11,35	13,65	m	826,1	m
3331	+	11,32	13,55	m	823,1	m
3330	+	11,30	13,49	m	821,3	m
3329	+	11,27	13,40	m	818,5	m
3328	+	11,25	13,34	m	816,7	m
3327	+	11,23	13,27	m	814,6	m
3326	+	11,20	13,18	m	811,8	m
3325	+	11,18	13,12	m	809,9	m
3324	+	11,15	13,03	m	807,2	m
3323	+	11,13	12,97	m	805,3	m
3322	+	11,10	12,88	m	802,5	m
3321	+	11,08	12,82	m	800,6	m
3320	+	11,05	12,74	m	798,1	m
3319	+	11,03	12,68	m	796,2	m
3318	+	11,01	12,62	m	794,4	m
3317	+	10,98	12,53	m	791,5	m
3316	+	10,96	12,47	m	789,6	m
3315	+	10,93	12,39	m	787,1	m
3314	+	10,91	12,33	m	785,2	m
3313	+	10,88	12,25	m	782,6	m
3312	+	10,86	12,19	m	780,7	m
3311	+	10,83	12,11	m	778,1	m
3310	+	10,81	12,05	m	776,2	m
3309	+	10,79	11,99	m	774,3	m
3308	+	10,76	11,91	m	771,7	m
3307	+	10,74	11,86	m	770,1	m
3306	+	10,71	11,78	m	767,5	m
3305	+	10,69	11,72	m	765,5	m
3304	+	10,66	11,64	m	762,9	m
3303	+	10,64	11,59	m	761,2	m
3302	+	10,62	11,53	m	759,3	m
3301	+	10,59	11,46	m	757,0	m
3300	+	10,57	11,40	m	755,0	m
3299	+	10,54	11,32	m	752,3	m
3298	+	10,52	11,27	m	750,7	m
3297	+	10,49	11,19	m	748,0	m
3296	+	10,47	11,14	m	746,3	m
3295	+	10,44	11,07	m	744,0	m
3294	+	10,42	11,02	m	742,3	m
3293	+	10,40	10,96	m	740,3	m
3292	+	10,37	10,89	m	737,9	m
3291	+	10,35	10,84	m	736,2	m
3290	+	10,32	10,76	m	733,5	m
3289	+	10,30	10,72	m	732,1	m
3288	+	10,27	10,64	m	729,4	m
3287	+	10,25	10,59	m	727,7	m
3286	+	10,22	10,52	m	725,3	m
3285	+	10,20	10,47	m	723,5	m
3284	+	10,18	10,42	m	721,8	m
3283	+	10,15	10,35	m	719,4	m
3282	+	10,13	10,30	m	717,6	m
3281	+	10,10	10,23	m	715,2	m
3280	+	10,08	10,19	m	713,8	m
3279	+	10,05	10,12	m	711,3	m
3278	+	10,03	10,07	m	709,6	m
3277	+	10,00	10,00	m	707,1	m
3276	+	$9,98	9,954	m	705,5	m
3275	+	$9,96	9,908	m	703,8	m
3274	+	$9,93	9,840	m	701,4	m
3273	+	$9,91	9,795	m	699,8	m
3272	+	$9,88	9,727	m	697,4	m
3271	+	$9,86	9,683	m	695,8	m
3270	+	$9,83	9,616	m	693,4	m
3269	+	$9,81	9,572	m	691,8	m
3268	+	$9,79	9,528	m	690,2	m
3267	+	$9,76	9,462	m	687,8	m
3266	+	$9,74	9,419	m	686,3	m
3265	+	$9,71	9,354	m	683,9	m
3264	+	$9,69	9,311	m	682,3	m
3263	+	$9,66	9,247	m	680,0	m
3262	+	$9,64	9,204	m	678,4	m
3261	+	$9,61	9,141	m	676,1	m
3260	+	$9,59	9,099	m	674,5	m
3259	+	$9,57	9,057	m	672,9	m
3258	+	$9,54	8,995	m	670,6	m
3257	+	$9,52	8,954	m	669,1	m
3256	+	$9,49	8,892	m	666,8	m
3255	+	$9,47	8,851	m	665,2	m
3254	+	$9,44	8,790	m	662,9	m
3253	+	$9,42	8,750	m	661,4	m
3252	+	$9,39	8,690	m	659,2	m
3251	+	$9,37	8,650	m	657,6	m
3250	+	$9,35	8,610	m	656,1	m
3249	+	$9,32	8,551	m	653,9	m
3248	+	$9,30	8,511	m	652,3	m
3247	+	$9,27	8,453	m	650,1	m
3246	+	$9,25	8,414	m	648,6	m
3245	+	$9,22	8,356	m	646,4	m
3244	+	$9,20	8,318	m	644,9	m
3243	+	$9,17	8,260	m	642,7	m
3242	+	$9,15	8,222	m	641,2	m
3241	+	$9,13	8,185	m	639,7	m
3240	+	$9,10	8,128	m	637,5	m
3239	+	$9,08	8,091	m	636,0	m
3238	+	$9,05	8,035	m	633,8	m
3237	+	$9,03	7,998	m	632,4	m
3236	+	$9,00	7,943	m	630,2	m
3235	+	$8,98	7,907	m	628,8	m
3234	+	$8,96	7,870	m	627,3	m
3233	+	$8,93	7,816	m	625,1	m
3232	+	$8,91	7,780	m	623,7	m
3231	+	$8,88	7,727	m	621,6	m
3230	+	$8,86	7,691	m	620,1	m
3229	+	$8,83	7,638	m	618,0	m
3228	+	$8,81	7,603	m	616,6	m
3227	+	$8,78	7,551	m	614,5	m
3226	+	$8,76	7,516	m	613,0	m
3225	+	$8,74	7,482	m	611,6	m
3224	+	$8,71	7,430	m	609,5	m
3223	+	$8,69	7,396	m	608,1	m
3222	+	$8,66	7,345	m	606,0	m
3221	+	$8,64	7,311	m	604,6	m
3220	+	$8,61	7,261	m	602,5	m
3219	+	$8,59	7,228	m	601,2	m
3218	+	$8,56	7,178	m	599,1	m
3217	+	$8,54	7,145	m	597,7	m
3216	+	$8,52	7,112	m	596,3	m
3215	+	$8,49	7,063	m	594,3	m
3214	+	$8,47	7,031	m	592,9	m
3213	+	$8,44	6,982	m	590,8	m
3212	+	$8,42	6,950	m	589,5	m
3211	+	$8,39	6,902	m	587,5	m
3210	+	$8,37	6,871	m	586,1	m
3209	+	$8,34	6,823	m	584,1	m
3208	+	$8,32	6,792	m	582,8	m
3207	+	$8,30	6,761	m	581,4	m
3206	+	$8,27	6,714	m	579,4	m
3205	+	$8,25	6,683	m	578,1	m
3204	+	$8,22	6,637	m	576,1	m
3203	+	$8,20	6,607	m	574,8	m
3202	+	$8,17	6,561	m	572,8	m
3201	+	$8,15	6,531	m	571,4	m
3200	+	$8,13	6,501	m	570,1	m
3199	+	$8,10	6,457	m	568,2	m
3198	+	$8,08	6,427	m	566,9	m
3197	+	$8,05	6,383	m	564,9	m
3196	+	$8,03	6,353	m	563,6	m
3195	+	$8,00	6,310	m	561,7	m
3194	+	$7,98	6,281	m	560,4	m
3193	+	$7,95	6,237	m	558,4	m
3192	+	$7,93	6,209	m	557,2	m
3191	+	$7,91	6,180	m	555,9	m
3190	+	$7,88	6,138	m	554,0	m
3189	+	$7,86	6,109	m	552,7	m
3188	+	$7,83	6,067	m	550,8	m
3187	+	$7,81	6,039	m	549,5	m
3186	+	$7,78	5,998	m	547,6	m
3185	+	$7,76	5,970	m	546,4	m
3184	+	$7,73	5,929	m	544,5	m
3183	+	$7,71	5,902	m	543,2	m
3182	+	$7,69	5,875	m	542,0	m
3181	+	$7,66	5,834	m	540,1	m
3180	+	$7,64	5,808	m	538,9	m
3179	+	$7,61	5,768	m	537,0	m
3178	+	$7,59	5,741	m	535,8	m
3177	+	$7,56	5,702	m	533,9	m
3176	+	$7,54	5,675	m	532,7	m
3175	+	$7,51	5,636	m	530,8	m
3174	+	$7,49	5,610	m	529,6	m
3173	+	$7,47	5,585	m	528,4	m
3172	+	$7,44	5,546	m	526,6	m
3171	+	$7,42	5,521	m	525,4	m
3170	+	$7,39	5,483	m	523,6	m
3169	+	$7,37	5,458	m	522,4	m
3168	+	$7,34	5,420	m	520,6	m
3167	+	$7,32	5,395	m	519,4	m
3166	+	$7,29	5,358	m	517,6	m
3165	+	$7,27	5,333	m	516,4	m
3164	+	$7,25	5,309	m	515,2	m
3163	+	$7,22	5,272	m	513,4	m
3162	+	$7,20	5,248	m	512,2	m
3161	+	$7,17	5,212	m	510,5	m
3160	+	$7,15	5,188	m	509,3	m
3159	+	$7,12	5,152	m	507,5	m
3158	+	$7,10	5,129	m	506,4	m
3157	+	$7,08	5,105	m	505,2	m
3156	+	$7,05	5,070	m	503,5	m
3155	+	$7,03	5,047	m	502,3	m
3154	+	$7,00	5,012	m	500,6	m
3153	+	$6,98	4,989	m	499,4	m
3152	+	$6,95	4,955	m	497,7	m
3151	+	$6,93	4,932	m	496,6	m
3150	+	$6,90	4,898	m	494,9	m
3149	+	$6,88	4,875	m	493,7	m
3148	+	$6,86	4,853	m	492,6	m
3147	+	$6,83	4,819	m	490,9	m
3146	+	$6,81	4,797	m	489,7	m
3145	+	$6,78	4,764	m	488,1	m
3144	+	$6,76	4,742	m	486,9	m
3143	+	$6,73	4,710	m	485,3	m
3142	+	$6,71	4,688	m	484,1	m
3141	+	$6,68	4,656	m	482,5	m
3140	+	$6,66	4,634	m	481,4	m
3139	+	$6,64	4,613	m	480,3	m
3138	+	$6,61	4,581	m	478,6	m
3137	+	$6,59	4,560	m	477,5	m
3136	+	$6,56	4,529	m	475,9	m
3135	+	$6,54	4,508	m	474,8	m
3134	+	$6,51	4,477	m	473,1	m
3133	+	$6,49	4,457	m	472,1	m
3132	+	$6,46	4,426	m	470,4	m
3131	+	$6,44	4,406	m	469,4	m
3130	+	$6,42	4,385	m	468,2	m
3129	+	$6,39	4,355	m	466,6	m
3128	+	$6,37	4,335	m	465,6	m
3127	+	$6,34	4,305	m	464,0	m
3126	+	$6,32	4,285	m	462,9	m
3125	+	$6,29	4,256	m	461,3	m
3124	+	$6,27	4,236	m	460,2	m
3123	+	$6,25	4,217	m	459,2	m
3122	+	$6,22	4,188	m	457,6	m
3121	+	$6,20	4,169	m	456,6	m
3120	+	$6,17	4,140	m	455,0	m
3119	+	$6,15	4,121	m	453,9	m
3118	+	$6,12	4,093	m	452,4	m
3117	+	$6,10	4,074	m	451,3	m
3116	+	$6,07	4,046	m	449,8	m
3115	+	$6,05	4,027	m	448,7	m
3114	+	$6,03	4,009	m	447,7	m
3113	+	$6,00	3,981	m	446,2	m
3112	+	$5,98	3,963	m	445,1	m
3111	+	$5,95	3,936	m	443,6	m
3110	+	$5,93	3,917	m	442,5	m
3109	+	$5,90	3,890	m	441,0	m
3108	+	$5,88	3,873	m	440,1	m
3107	+	$5,85	3,846	m	438,5	m
3106	+	$5,83	3,828	m	437,5	m
3105	+	$5,81	3,811	m	436,5	m
3104	+	$5,78	3,784	m	435,0	m
3103	+	$5,76	3,767	m	434,0	m
3102	+	$5,73	3,741	m	432,5	m
3101	+	$5,71	3,724	m	431,5	m
3100	+	$5,68	3,698	m	430,0	m
3099	+	$5,66	3,681	m	429,0	m
3098	+	$5,63	3,656	m	427,6	m
3097	+	$5,61	3,639	m	426,6	m
3096	+	$5,59	3,622	m	425,6	m
3095	+	$5,56	3,597	m	424,1	m
3094	+	$5,54	3,581	m	423,1	m
3093	+	$5,51	3,556	m	421,7	m
3092	+	$5,49	3,540	m	420,7	m
3091	+	$5,46	3,516	m	419,3	m
3090	+	$5,44	3,499	m	418,3	m
3089	+	$5,42	3,483	m	417,3	m
3088	+	$5,39	3,459	m	415,9	m
3087	+	$5,37	3,443	m	414,9	m
3086	+	$5,34	3,420	m	413,5	m
3085	+	$5,32	3,404	m	412,6	m
3084	+	$5,29	3,381	m	411,2	m
3083	+	$5,27	3,365	m	410,2	m
3082	+	$5,24	3,342	m	408,8	m
3081	+	$5,22	3,327	m	407,9	m
3080	+	$5,20	3,311	m	406,9	m
3079	+	$5,17	3,289	m	405,5	m
3078	+	$5,15	3,273	m	404,5	m
3077	+	$5,12	3,251	m	403,2	m
3076	+	$5,10	3,236	m	402,2	m
3075	+	$5,07	3,214	m	400,9	m
3074	+	$5,05	3,199	m	399,9	m
3073	+	$5,02	3,177	m	398,6	m
3072	+	$5,00	3,162	m	397,6	m
3071	+	$4,98	3,148	m	396,7	m
3070	+	$4,95	3,126	m	395,3	m
3069	+	$4,93	3,112	m	394,5	m
3068	+	$4,90	3,090	m	393,1	m
3067	+	$4,88	3,076	m	392,2	m
3066	+	$4,85	3,055	m	390,8	m
3065	+	$4,83	3,041	m	389,9	m
3064	+	$4,80	3,020	m	388,6	m
3063	+	$4,78	3,006	m	387,7	m
3062	+	$4,76	2,992	m	386,8	m
3061	+	$4,73	2,972	m	385,5	m
3060	+	$4,71	2,958	m	384,6	m
3059	+	$4,68	2,938	m	383,3	m
3058	+	$4,66	2,924	m	382,4	m
3057	+	$4,63	2,904	m	381,1	m
3056	+	$4,61	2,891	m	380,2	m
3055	+	$4,58	2,871	m	378,9	m
3054	+	$4,56	2,858	m	378,0	m
3053	+	$4,54	2,844	m	377,1	m
3052	+	$4,51	2,825	m	375,8	m
3051	+	$4,49	2,812	m	375,0	m
3050	+	$4,46	2,793	m	373,7	m
3049	+	$4,44	2,780	m	372,8	m
3048	+	$4,41	2,761	m	371,6	m
3047	+	$4,39	2,748	m	370,7	m
3046	+	$4,37	2,735	m	369,8	m
3045	+	$4,34	2,716	m	368,5	m
3044	+	$4,32	2,704	m	367,7	m
3043	+	$4,29	2,685	m	366,4	m
3042	+	$4,27	2,673	m	365,6	m
3041	+	$4,24	2,655	m	364,3	m
3040	+	$4,22	2,642	m	363,5	m
3039	+	$4,19	2,624	m	362,2	m
3038	+	$4,17	2,612	m	361,4	m
3037	+	$4,15	2,600	m	360,6	m
3036	+	$4,12	2,582	m	359,3	m
3035	+	$4,10	2,570	m	358,5	m
3034	+	$4,07	2,553	m	357,3	m
3033	+	$4,05	2,541	m	356,4	m
3032	+	$4,02	2,523	m	355,2	m
3031	+	$4,00	2,512	m	354,4	m
3030	+	$3,97	2,495	m	353,2	m
3029	+	$3,95	2,483	m	352,3	m
3028	+	$3,93	2,472	m	351,6	m
3027	+	$3,90	2,455	m	350,4	m
3026	+	$3,88	2,443	m	349,5	m
3025	+	$3,85	2,427	m	348,4	m
3024	+	$3,83	2,415	m	347,5	m
3023	+	$3,80	2,399	m	346,3	m
3022	+	$3,78	2,388	m	345,5	m
3021	+	$3,75	2,371	m	344,3	m
3020	+	$3,73	2,360	m	343,5	m
3019	+	$3,71	2,350	m	342,8	m
3018	+	$3,68	2,333	m	341,5	m
3017	+	$3,66	2,323	m	340,8	m
3016	+	$3,63	2,307	m	339,6	m
3015	+	$3,61	2,296	m	338,8	m
3014	+	$3,58	2,280	m	337,6	m
3013	+	$3,56	2,270	m	336,9	m
3012	+	$3,54	2,259	m	336,1	m
3011	+	$3,51	2,244	m	335,0	m
3010	+	$3,49	2,234	m	334,2	m
3009	+	$3,46	2,218	m	333,0	m
3008	+	$3,44	2,208	m	332,3	m
3007	+	$3,41	2,193	m	331,1	m
3006	+	$3,39	2,183	m	330,4	m
3005	+	$3,36	2,168	m	329,2	m
3004	+	$3,34	2,158	m	328,5	m
3003	+	$3,32	2,148	m	327,7	m
3002	+	$3,29	2,133	m	326,6	m
3001	+	$3,27	2,123	m	325,8	m
3000	+	$3,24	2,109	m	324,7	m
2999	+	$3,22	2,099	m	324,0	m
2998	+	$3,19	2,084	m	322,8	m
2997	+	$3,17	2,075	m	322,1	m
2996	+	$3,14	2,061	m	321,0	m
2995	+	$3,12	2,051	m	320,2	m
2994	+	$3,10	2,042	m	319,5	m
2993	+	$3,07	2,028	m	318,4	m
2992	+	$3,05	2,018	m	317,6	m
2991	+	$3,02	2,004	m	316,5	m
2990	+	$3,00	1,995	m	315,8	m
2989	+	$2,97	1,982	m	314,8	m
2988	+	$2,95	1,972	m	314,0	m
2987	+	$2,92	1,959	m	313,0	m
2986	+	$2,90	1,950	m	312,2	m
2985	+	$2,88	1,941	m	311,5	m
2984	+	$2,85	1,928	m	310,5	m
2983	+	$2,83	1,919	m	309,8	m
2982	+	$2,80	1,905	m	308,6	m
2981	+	$2,78	1,897	m	308,0	m
2980	+	$2,75	1,884	m	306,9	m
2979	+	$2,73	1,875	m	306,2	m
2978	+	$2,71	1,866	m	305,5	m
2977	+	$2,68	1,854	m	304,5	m
2976	+	$2,66	1,845	m	303,7	m
2975	+	$2,63	1,832	m	302,7	m
2974	+	$2,61	1,824	m	302,0	m
2973	+	$2,58	1,811	m	300,9	m
2972	+	$2,56	1,803	m	300,2	m
2971	+	$2,53	1,791	m	299,2	m
2970	+	$2,51	1,782	m	298,5	m
2969	+	$2,49	1,774	m	297,8	m
2968	+	$2,46	1,762	m	296,8	m
2967	+	$2,44	1,754	m	296,1	m
2966	+	$2,41	1,742	m	295,1	m
2965	+	$2,39	1,734	m	294,4	m
2964	+	$2,36	1,722	m	293,4	m
2963	+	$2,34	1,714	m	292,7	m
2962	+	$2,31	1,702	m	291,7	m
2961	+	$2,29	1,694	m	291,0	m
2960	+	$2,27	1,687	m	290,4	m
2959	+	$2,24	1,675	m	289,4	m
2958	+	$2,22	1,667	m	288,7	m
2957	+	$2,19	1,656	m	287,7	m
2956	+	$2,17	1,648	m	287,1	m
2955	+	$2,14	1,637	m	286,1	m
2954	+	$2,12	1,629	m	285,4	m
2953	+	$2,09	1,618	m	284,4	m
2952	+	$2,07	1,611	m	283,8	m
2951	+	$2,05	1,603	m	283,1	m
2950	+	$2,02	1,592	m	282,1	m
2949	+	$2,00	1,585	m	281,5	m
2948	+	$1,97	1,574	m	280,5	m
2947	+	$1,95	1,567	m	279,9	m
2946	+	$1,92	1,556	m	278,9	m
2945	+	$1,90	1,549	m	278,3	m
2944	+	$1,88	1,542	m	277,7	m
2943	+	$1,85	1,531	m	276,7	m
2942	+	$1,83	1,524	m	276,0	m
2941	+	$1,80	1,514	m	275,1	m
2940	+	$1,78	1,507	m	274,5	m
2939	+	$1,75	1,496	m	273,5	m
2938	+	$1,73	1,489	m	272,9	m
2937	+	$1,70	1,479	m	271,9	m
2936	+	$1,68	1,472	m	271,3	m
2935	+	$1,66	1,466	m	270,7	m
2934	+	$1,63	1,455	m	269,7	m
2933	+	$1,61	1,449	m	269,2	m
2932	+	$1,58	1,439	m	268,2	m
2931	+	$1,56	1,432	m	267,6	m
2930	+	$1,53	1,422	m	266,6	m
2929	+	$1,51	1,416	m	266,1	m
2928	+	$1,48	1,406	m	265,1	m
2927	+	$1,46	1,400	m	264,6	m
2926	+	$1,44	1,393	m	263,9	m
2925	+	$1,41	1,384	m	263,1	m
2924	+	$1,39	1,377	m	262,4	m
2923	+	$1,36	1,368	m	261,5	m
2922	+	$1,34	1,361	m	260,9	m
2921	+	$1,31	1,352	m	260,0	m
2920	+	$1,29	1,346	m	259,4	m
2919	+	$1,26	1,337	m	258,6	m
2918	+	$1,24	1,330	m	257,9	m
2917	+	$1,22	1,324	m	257,3	m
2916	+	$1,19	1,315	m	256,4	m
2915	+	$1,17	1,309	m	255,8	m
2914	+	$1,14	1,300	m	255,0	m
2913	+	$1,12	1,294	m	254,4	m
2912	+	$1,09	1,285	m	253,5	m
2911	+	$1,07	1,279	m	252,9	m
2910	+	$1,04	1,271	m	252,1	m
2909	+	$1,02	1,265	m	251,5	m
2908	+	$1,00	1,259	m	250,9	m
2907	+	$0,97	1,250	m	250,0	m
2906	+	$0,95	1,245	m	249,5	m
2905	+	$0,92	1,236	m	248,6	m
2904	+	$0,90	1,230	m	248,0	m
2903	+	$0,87	1,222	m	247,2	m
2902	+	$0,85	1,216	m	246,6	m
2901	+	$0,83	1,211	m	246,1	m
2900	+	$0,80	1,202	m	245,2	m
2899	+	$0,78	1,197	m	244,6	m
2898	+	$0,75	1,189	m	243,8	m
2897	+	$0,73	1,183	m	243,2	m
2896	+	$0,70	1,175	m	242,4	m
2895	+	$0,68	1,169	m	241,8	m
2894	+	$0,65	1,161	m	240,9	m
2893	+	$0,63	1,156	m	240,4	m
2892	+	$0,61	1,151	m	239,9	m
2891	+	$0,58	1,143	m	239,1	m
2890	+	$0,56	1,138	m	238,5	m
2889	+	$0,53	1,130	m	237,7	m
2888	+	$0,51	1,125	m	237,2	m
2887	+	$0,48	1,117	m	236,3	m
2886	+	$0,46	1,112	m	235,8	m
2885	+	$0,43	1,104	m	234,9	m
2884	+	$0,41	1,099	m	234,4	m
2883	+	$0,39	1,094	m	233,9	m
2882	+	$0,36	1,086	m	233,0	m
2881	+	$0,34	1,081	m	232,5	m
2880	+	$0,31	1,074	m	231,7	m
2879	+	$0,29	1,069	m	231,2	m
2878	+	$0,26	1,062	m	230,4	m
2877	+	$0,24	1,057	m	229,9	m
2876	+	$0,21	1,050	m	229,1	m
2875	+	$0,19	1,045	m	228,6	m
2874	+	$0,17	1,040	m	228,0	m
2873	+	$0,14	1,033	m	227,3	m
2872	+	$0,12	1,028	m	226,7	m
2871	+	$0,09	1,021	m	225,9	m
2870	+	$0,07	1,016	m	225,4	m
2869	+	$0,04	1,009	m	224,6	m
2868	+	$0,02	1,005	m	224,2	m
2867	+	$0,00	1,000	m	223,6	m
2866	-	$0,03	993,1	u	222,8	m
2865	-	$0,05	988,6	u	222,3	m
2864	-	$0,08	981,7	u	221,6	m
2863	-	$0,10	977,2	u	221,0	m
2862	-	$0,13	970,5	u	220,3	m
2861	-	$0,15	966,1	u	219,8	m
2860	-	$0,18	959,4	u	219,0	m
2859	-	$0,20	955,0	u	218,5	m
2858	-	$0,22	950,6	u	218,0	m
2857	-	$0,25	944,1	u	217,3	m
2856	-	$0,27	939,7	u	216,8	m
2855	-	$0,30	933,3	u	216,0	m
2854	-	$0,32	929,0	u	215,5	m
2853	-	$0,35	922,6	u	214,8	m
2852	-	$0,37	918,3	u	214,3	m
2851	-	$0,40	912,0	u	213,5	m
2850	-	$0,42	907,8	u	213,0	m
2849	-	$0,44	903,6	u	212,6	m
2848	-	$0,47	897,4	u	211,8	m
2847	-	$0,49	893,3	u	211,3	m
2846	-	$0,52	887,2	u	210,6	m
2845	-	$0,54	883,1	u	210,1	m
2844	-	$0,57	877,0	u	209,4	m
2843	-	$0,59	873,0	u	208,9	m
2842	-	$0,62	867,0	u	208,2	m
2841	-	$0,64	863,0	u	207,7	m
2840	-	$0,66	859,0	u	207,2	m
2839	-	$0,69	853,1	u	206,5	m
2838	-	$0,71	849,2	u	206,1	m
2837	-	$0,74	843,3	u	205,3	m
2836	-	$0,76	839,5	u	204,9	m
2835	-	$0,79	833,7	u	204,2	m
2834	-	$0,81	829,9	u	203,7	m
2833	-	$0,83	826,0	u	203,2	m
2832	-	$0,86	820,4	u	202,5	m
2831	-	$0,88	816,6	u	202,1	m
2830	-	$0,91	811,0	u	201,4	m
2829	-	$0,93	807,2	u	200,9	m
2828	-	$0,96	801,7	u	200,2	m
2827	-	$0,98	798,0	u	199,7	m
2826	-	$1,01	792,5	u	199,1	m
2825	-	$1,03	788,9	u	198,6	m
2824	-	$1,05	785,2	u	198,1	m
2823	-	$1,08	779,8	u	197,5	m
2822	-	$1,10	776,2	u	197,0	m
2821	-	$1,13	770,9	u	196,3	m
2820	-	$1,15	767,4	u	195,9	m
2819	-	$1,18	762,1	u	195,2	m
2818	-	$1,20	758,6	u	194,8	m
2817	-	$1,23	753,4	u	194,1	m
2816	-	$1,25	749,9	u	193,6	m
2815	-	$1,27	746,4	u	193,2	m
2814	-	$1,30	741,3	u	192,5	m
2813	-	$1,32	737,9	u	192,1	m
2812	-	$1,35	732,8	u	191,4	m
2811	-	$1,37	729,5	u	191,0	m
2810	-	$1,40	724,4	u	190,3	m
2809	-	$1,42	721,1	u	189,9	m
2808	-	$1,45	716,1	u	189,2	m
2807	-	$1,47	712,9	u	188,8	m
2806	-	$1,49	709,6	u	188,4	m
2805	-	$1,52	704,7	u	187,7	m
2804	-	$1,54	701,5	u	187,3	m
